Name,Type,Tags,Indoor/Outdoor,Price,Link,Notes,Full Address,Zip Code,State
Science Center,Activity,"Educational, Interactive",Indoor,$$,https://www.mdsci.org/,,"601 Light St, Baltimore, MD 21230",21230,MD
Donut shack,Food,Treat,Indoor,,https://theshackisback.com/,,"497 Ritchie Hwy, Severna Park, MD 21146",21146,MD
Carlson's donuts,Food,Treat,Indoor,,https://www.facebook.com/CarlsonsDonutsinSevernMD/,,"7846 Telegraph Rd, Severn, MD 21144",21144,MD
Port Discovery,Activity,"Educational, Interactive, Physical Activity",Indoor,$$,https://www.portdiscovery.org/,,"35 Market Pl, Baltimore, MD 21202",21202,MD
Bland Air Regional Park North Playground,Activity,"Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails,,"5685 Oakland Mills Rd, Columbia, MD 21045",21045,MD
Bland Air Regional Park West Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails,," 5750 Oakland Mills Rd, Columbia, MD 21045",21045,MD
Bland Air Regional Park South Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails,,"9245 Sealed Message Rd, Columbia, MD 21045",21045,MD
National Aquarium,Activity,"Educational, Animals",Indoor,$$,https://aqua.org/,,"501 E. Pratt St., Baltimore, MD 21202",21202,MD
Schooley Mill Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://www.visithowardcounty.com/listings/schooley-mill-park/2320/,,"12975 Hall Shop Rd, Highland, MD 20777",20777,MD
Swansfield Neighborhood Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://search.app.goo.gl/GE2NXpe,,"Harper's Choice, Columbia, MD 21044",21044,MD
Cedar Lane Park Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails#cedar-lane-park-columbia,,"5081 Cedar Ln, Columbia, MD 21044",21044,MD
Cedar Lane Park East Playground,Activity,"Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails#cedar-lane-park-columbia,,"Cedar Lane Path, Columbia, MD 21044",21044,MD
Skyzone,Activity,Physical Activity,Indoor,$$,https://www.skyzone.com/columbia/,,"7175 Oakland Mills Rd, Columbia, MD 21046",21046,MD
Cimbzone,Activity,Physical Activity,Indoor,$$,https://www.climbzone.us/laurel/?gad_source=1&gclid=CjwKCAjwgdayBhBQEiwAXhMxtlciuxCgo8wFosqP_peAI_9YIwxLAHH54bXEjvcd3FiPaODXedYEaxoCeBAQAvD_BwE,,"13200 Mid Atlantic Boulevard - Suite 130 Laurel, MD 20708",20708,MD
Hilton Tire Park,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://search.app.goo.gl/5KEbWiF,,"1101 Hilton Ave, Catonsville, MD 21228",21228,MD
Charlsie's Bakehouse,Food,"Food, Treat",Indoor,$,https://charlsiesbakehouse.com/,,"706 Frederick Road, Catonsville, MD 21228",21228,MD
Mary’s Land Farm,Activity,"Animals, Physical Activity, Playground","Indoor, Outdoor",Free,https://www.maryslandfarm.com/,,"4979 Sheppard Lane, Ellicott City, MD 21042",21042,MD
Robinson Nature Center,Activity,"Animals, Educational, Hiking, Water","Indoor, Outdoor",$,https://www.howardcountymd.gov/recreation-parks/robinson-nature-center,,"6692 Cedar Lane, Columbia, MD 21044",21044,MD
Centennial Park,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails#centennial-park-ellicott-city,,"10000 Clarksville Pike, Ellicott City, MD 21042",21042,MD
Centennial Park West,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails#centennial-park-ellicott-city,,"4651 Centennial Ln, Ellicott City, MD 21042",21042,MD
Centennial Park North,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails#centennial-park-ellicott-city,,"9801 Old Annapolis Rd, Ellicott City, MD 21042",21042,MD
Rockburn Branch Park,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails,,"6105 Rockburn Branch Park Rd, Elkridge, MD 21075",21075,MD
Rockburn Branch Park East,Activity,"Hiking, Physical Activity, Playground, Park",Outdoor,Free,https://www.howardcountymd.gov/recreation-parks/parks-playgrounds-trails,,"5400 Landing Rd, Elkridge, MD 21075",21075,MD
Guiness Brewery,Food,"Food, Drink","Indoor, Outdoor",$$,https://www.guinnessbrewerybaltimore.com/,,"5001 Washington Blvd, Halethorpe, MD 21227",21227,MD
Color Burst Park,Activity ,"Water, Food, Drink","Indoor, Outdoor",Free,https://merriweatherdistrict.com/whats-on/color-burst-park-splash-pad-is-open-for-the-summer/,,"6000 Merriweather Dr, Columbia, MD 21044",21044,MD
Piney Run Park,Activity ,"Hiking, Physical Activity, Playground, Park, Water",Outdoor,$,https://www.carrollcountymd.gov/government/directory/recreation-parks/places-to-go/piney-run-park/,,"30 Martz Rd, Sykesville, MD 21784",21784,MD
Splash Pad of Sykesville,Activity,"Water, Park, Playground",Outdoor,Free,https://townofsykesville.org/2266/Splash-Pad,,"7282 Cooper Drive, Sykesville, MD 21784",21784,MD
Manor Hill Brewery,Food,"Food, Drink, Animals",Outdoor,$$,https://www.manorhillbrewing.com/,,"4411 Manor Lane, Ellicott City, MD 21042",21042,MD
Clarks Elioak Farm,Activity,"Animals, Physical Activity, Playground, Food",Outdoor,$,http://www.clarklandfarm.com/,,"10500 Clarksville Pike, Ellicott City, MD 21042",21042,MD
Playseum,Activity,"Physical Activity, Creativity",Indoor,$$,https://www.playseum.com/columbiamall-playseum,,"10300 Little Patuxent Parkway, STE 1870, Columbia, MD 21044",21044,MD
Doodle Hatch,Activity,"Physical Activity, Creativity",Indoor,$,https://www.doodlehatch.com/,,"8775 Cloudleap Court, Columbia, Maryland, U.S.A. 21045",21045,MD
Play n Learn,Activity,"Physical Activity, Playground ",Indoor,$,https://www.playnlearn.com/columbia-md-open-play/,,"9033 Red Branch Road, Columbia, MD 21045",21045,MD
Ellicott Mills Childrens Museum,Activity,Educational,Indoor,Free,https://www.hchsmd.org/childrens-museum/,,"3725 Park Avenue, Ellicott City, MD 21043",21043,MD
Storyville,Activity,"Physical Activity, Creativity",Indoor,Free,https://www.bcpl.info/youth/storyville,,"6105 Kenwood Avenue, Baltimore, Maryland 21237",21237,MD
Monster Mini Golf,Activity,Physical Activity,Indoor,$,https://monsterminigolf.com/locations/us/md/columbia/,,"7351 Assateague Drive 380, Jessup, Maryland 20794",20794,MD
Mayo Beach Park,Activity,"Water, Physical Activity",Outdoor,Free,https://www.aacounty.org/recreation-parks/parks/mayo-beach-park,,"4150 Honeysuckle Drive, Edgewater, MD 21037",21037,MD
Grounded,Activity,Physical Activity,Outdoor,$$,https://www.groundedoec.com/,,"8378 Main Street, Old Ellicott City, MD 21043",21043,MD
NASA Goddard Flight Center,Activity,Educational,"Indoor, Outdoor",Free,https://www.nasa.gov/goddard/visitor-center/,,"8800 Greenbelt Road, Greenbelt, MD 20771",20771,MD
Village Center,Activity,"Wellness, Play",Indoor,$,https://www.thevillagecentermd.com/,,"10203 Tanager Lane, Suite 102, Columbia, MD 21044",21044,MD
B&O Train Museum,Activity,"Educational, Play, Trains","Indoor, Outdoor",$$,https://www.borail.org/,,"901 West Pratt St., Baltimore, MD 21223",21223,MD
Baltimore & Ohio Ellicott City Station Museum,Activity,"Educational, Trains","Indoor, Outdoor",Free,https://www.howardcountymd.gov/ecborail,,"3711 Maryland Avenue, Ellicott City, MD 21043",21043,MD
Hyper Kidz,Activity,Playground,Indoor,$$,https://columbia.hyperkidzplay.com/,,"9309 Snowden River Pkwy Columbia, MD 21046",21046,MD
The Fire Museum of MD,Activity,"Educational, Play",Indoor,$,https://www.firemuseummd.org/,,"1301-R York Road, Lutherville, MD 21093",21093,MD
The Ice Shack,Food,Treat,Outdoor,$,https://theiceshack.godaddysites.com/,,"603 Wedekind Drive Woodbine, MD 21797",21797,MD
Howard County LIbrary Central Branch,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/central-branch/,,"10375 Little Patuxent Pkwy, Columbia, MD 21044",21044,MD
Howard County Library East Columbia Branch,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/east-columbia-branch/,,"6600 Cradlerock Way, Columbia, MD 21045",21045,MD
Howard County Library Elkridge Branch,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/elkridge-branch/,,"6540 Washington Blvd, Elkridge MD 21075",21075,MD
Howard County Library Glenwood Branch,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/glenwood-branch/,,"2350 State Route 97, Cooksville, MD 21723",21723,MD
Howard County Library Miller Branch & Historical Center,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/miller-branch/,,"9421 Frederick Rd, Ellicott City, MD 21042",21042,MD
Howard County Library Savage Branch & STEM Education Center,Activity,"Educational, Play",Indoor,Free,https://hclibrary.org/locations/savage-branch/,,"9525 Durness Lane, Laurel, MD 20723",20723,MD
Maryland Zoo,Activity,"Educational, Animals","Indoor, Outdoor",$$,https://www.marylandzoo.org/,,"1 Safari Pl, Baltimore, MD 21217",21217,MD
Lake Elkhorn,Activity,"Playground, Park, Water",Outdoor,Free,https://www.visithowardcounty.com/listings/lake-elkhorn/8613/,,"6800 Cradlerock Way, Columbia, MD 21046",21046,MD
Patuxent Research Refuge - South Tract,Activity,"Hiking, Park, Water",Outdoor,Free,https://www.fws.gov/refuge/patuxent-research,,"10901 Scarlet Tanager Loop Laurel, MD 20708",20708,MD
Patuxent Research Refuge - North Tract,Activity,"Biking, Hiking, Park, Water",Outdoor,Free,https://www.fws.gov/refuge/patuxent-research,,"230 Bald Eagle Drive Laurel, MD 20724",20724,MD
My Gym - Columbia,Activity,Play,Indoor,$$,https://www.mygym.com/columbia,,"6905-C Oaklan Mills Rd, Columbia, MD 21045",21045,MD
Larriland Farm,Activity,"Farm, Animals, Food",Outdoor,$,http://www.pickyourown.com/,,"2415 Woodbine Road, Woodbine, MD 21797",21797,MD
"Thomas A. Dixon, Jr. Aircraft Observation Area",Activity,"Biking, Playground, Hiking",Outdoor,Free,https://www.aacounty.org/locations/bwi-trail-thomas-dixon-jr-aircraft-observation-area,,"1911 Dorsey Rd, Glen Burnie, MD 21061",21061,MD
Greenbrier State Park,Activity,"Water, Beach, Hiking, Swimming",Outdoor,$,https://dnr.maryland.gov/publiclands/Pages/western/greenbrier.aspx,,"21843 National Pike, Boonsboro, MD 21713​​",21713,MD